style_number,category,metal,stone_type,last_30_day_sales,last_90_day_sales,current_stock,on_order,event,days_until_event,season
B401400-14WVS,Band,14W,Natural Diamond,5,14,3,4,JCK Vegas,35,Trade Show
LB401400-14WVS,Band,14W,Lab Grown Diamond,7,20,2,6,JCK Vegas,35,Trade Show
B501200-18YRA,Band,18Y,Ruby and Diamond,1,4,12,0,JCK Vegas,35,Trade Show
B601800-14REM,Ring,14R,Emerald and Diamond,3,9,1,2,Mother's Day,25,Holiday
B801300-PTVS,Eternity Band,PT,Natural Diamond,2,8,0,1,JCK Vegas,35,Trade Show
B901500-14YS,Band,14Y,Sapphire,1,3,9,0,JIS Miami,60,Trade Show
LB301900-14RVS1,Ring,14R,Lab Grown Diamond,6,18,4,4,Valentine's Day,20,Holiday
B332200-14YSI,Necklace,14Y,Natural Diamond,4,11,2,3,Mother's Day,25,Holiday
LB445500-PTVVS2,Bracelet,PT,Lab Grown Diamond,2,7,1,1,Holiday Season,90,Holiday
B778800-18REM,Ring,18R,Emerald and Diamond,1,6,2,0,JCK Vegas,35,Trade Show
B112233-14WDEF,Earrings,14W,Natural Diamond,8,22,5,8,Holiday Season,90,Holiday
LB223344-18YGH,Earrings,18Y,Lab Grown Diamond,9,26,3,10,Holiday Season,90,Holiday
B998877-14RS,Band,14R,Ruby,0,1,15,0,JIS Miami,60,Trade Show
B554433-18WVS,Pendant,18W,Natural Diamond,5,16,2,3,Mother's Day,25,Holiday
LB665544-14YSI,Necklace,14Y,Lab Grown Diamond,6,19,1,5,Mother's Day,25,Holiday
B777111-14WRA,Band,14W,Ruby and Diamond,2,7,4,1,Valentine's Day,20,Holiday
B777222-14WEA,Band,14W,Emerald and Diamond,1,5,3,0,Valentine's Day,20,Holiday
B777333-14WSA,Band,14W,Sapphire and Diamond,1,4,8,0,Valentine's Day,20,Holiday
B888111-18YVS,Ring,18Y,Natural Diamond,4,13,1,2,JCK Vegas,35,Trade Show
LB888222-18WVS,Ring,18W,Lab Grown Diamond,10,30,2,6,JCK Vegas,35,Trade Show
